activation_event_count,authentication,browser_entrypoint,bytes,category_count,commands,custom_editors,debuggers,dependency_count,dev_dependency_count,extension_id,languages,license_declared,main_entrypoint,repository_declared,sha256,task_definitions,terminal_profiles,untrusted_workspace_limited,valid_manifest,version,virtual_workspace_limited,vscode_engine,webview_views,wildcard_activation
6,0,False,165583,1,0,0,0,0,11,Turiiya.german-scroll,0,True,True,True,00fc2737ea576d4fc3539a90dd33000e8076b9880792cd6ed456374409bd2d7c,0,0,False,True,0.2.3,False,^1.68.0,0,False
7,0,False,6486836,5,72,0,1,6,12,sweetpad.sweetpad,0,True,True,True,0121c3ec57e93d83e82e0423130df958eb78932664feeff59018a64bfaee626b,1,0,False,True,0.2.9,False,^1.85.0,4,False
1,0,False,566263,1,1,0,0,0,5,henry-li.vscode-import-formatter,0,False,True,False,016ef0176dfdc8ceb7ef42b5aead0d6ef7f40cddc7310a1b62bd3a1a65fb4c92,0,0,False,True,0.1.8,False,^1.16.0,0,False
1,0,False,300653,1,1,0,0,0,14,nhutpd.react-native-generator-stylesheet,0,False,True,True,02069bef2739d97c4af3a236d3b8dd159227f788663c37625f8795f35a5469a9,0,0,False,True,0.0.1,False,^1.52.0,0,False
1,0,False,5995,1,1,0,0,0,9,YouWatchOn.a24,0,False,True,False,033bab20c332d3a2372c3f97b6a9ab89fa558dd156f2725fcf9609f0de32c619,0,0,False,True,0.2.3,False,^1.64.0,0,False
1,0,False,937094,3,1,0,0,3,14,gimjin.banjiao,0,True,True,True,042d4bdcc5b6131c59ce946f0c2540a6e725d12bcd45ea940d5ead2da496cec2,0,0,False,True,1.5.4,False,^1.98.0,0,False
7,0,True,2620843,1,24,0,1,18,22,github.vscode-github-actions,1,True,True,True,058462162cb29d4d22341d912c15dcfa2194774b1e92fc30fcba1a6ca3c91abd,0,0,False,True,0.32.3,False,^1.72.0,4,False
0,0,False,3273252,1,0,0,0,0,0,taniarascia.new-moon-vscode,0,False,False,True,08e4b96f84c2adc7752323271d23cdba7b1a4412c9be8adb8cc3d4c8e221aa1c,0,0,False,True,1.8.8,False,*,0,False
1,0,False,13808,1,5,0,0,0,7,mcpspend.mcpspend-vscode,0,True,True,True,093fcbd5cd02bba2abad3e823adc408998908ea175b265524840153285ae1302,0,0,False,True,0.2.0,False,^1.85.0,0,False
1,0,False,6244,1,1,0,0,0,11,Oransia.Nenjinullilneeyanufathimaremixdownload-benken,0,False,True,False,0fc1f1f7af951105d42bd067f89b80b894c22830a9a67ffe39e2c1d86b6dde92,0,0,False,True,0.0.1,False,^1.65.0,0,False
1,0,False,103793,1,0,0,0,0,3,Sunny-Solaris.solar-ui,0,True,True,True,106ccc8542fd605f8c8e4de4c8b40196a8395a4fae91da28ade929fe30615ffa,0,0,False,True,0.1.0,False,^1.85.0,0,False
0,0,False,168611,1,0,0,0,0,0,GuillaumeCLEMENT.x3-4gl-tools,1,False,False,True,1456414f3a0cc93c1429768e8ff7883e46f8d1c2460fdb0d25815a2b9b8a2aae,0,0,False,True,1.0.2,False,>=1.70.0,0,False
1,0,True,206806,1,3,0,0,0,0,monokai.theme-monokai-pro-vscode,0,True,True,True,17f119d473edab3c615f773280b49ba24b5efcb1f90e4e67fdca0685fdd567eb,0,0,True,True,2.0.13,False,^1.14.0,0,False
1,0,False,16743,1,6,0,0,0,5,chris-rovers.body-move,0,False,True,True,1a149fb4766b9bcf7c2214b6e98d77653369aa01dd012696fa4f66c567905e32,0,0,False,True,0.9.1,False,^1.33.0,0,True
4,0,False,6409224,0,137,1,0,6,1,googlecloudtools.datacloud,16,True,True,False,1ec02b850f189e0a4176824775e8427b1fad85202777ba04e9dbd2b956001a9b,0,0,False,True,0.7.2,False,^1.97.0,19,False
1,0,False,1922985,3,4,0,0,1,13,devsense-team.devsense,0,True,True,True,1f97a04eaa9a6834784374f2fbf492f1c9d715f23b403b63b8dff8d18f5ccd0b,0,0,False,True,1.0.69,False,^1.85.0,1,False
21,0,True,6826731,5,23,0,1,29,73,ms-python.python,6,True,True,True,232aeafb01f069824fdd92d3e628c1c442bbcfa1d3cc945ff97076340bb2b4a6,0,0,True,True,2026.4.0,True,^1.95.0,0,False
0,0,False,889694,1,0,0,0,0,0,Digimezzo.jetbrains-rider-new-ui-theme,0,False,False,True,234f366a8b44431a22e7ffb00250eb32d842ef7ff4c8afc3d787a00d38386e60,0,0,False,True,1.0.6,False,^1.12.0,0,False
1,0,False,423808,1,2,0,0,0,3,pkkkkkkkkkkkkk.antigravity-flush,0,True,True,True,24461d79c522069200447284e1fae91bc708a01178a3b0531dba5a6a2432620e,0,0,False,True,1.1.1,False,^1.74.0,0,True
0,0,False,150534,1,2,0,0,1,11,amguerrero.salesforce-lens,0,True,True,True,2560d25ffbf05120b65e928e80ccc043e75e18770b971d5abbb2c84377dc481b,0,0,False,True,1.0.14,False,^1.99.3,1,False
14,0,False,53916528,4,36,1,0,18,30,redhat.java,3,True,True,True,258206a78f5133430aece62194d7aa9b211b62096a4b6cdef42cb51ed54a3c6a,0,0,True,True,1.56.2026073008,False,^1.77.0,0,False
0,0,False,198719,1,0,0,0,0,0,DOMINVM.dominvm-theme,0,True,False,True,25e5ac42733f42befb72cd7748cc45c486f91c1c705572ce328a2f19596bcb8a,0,0,False,True,2.5.0,False,^1.80.0,0,False
1,0,False,72838,1,0,0,0,3,22,Swellaby.vscode-rust-test-adapter,0,True,True,True,294ca555e46ead3d1ba1cb484ac8109c3b703ee6b6c986d91fdb09d85caf9e55,0,0,False,True,0.11.1,False,^1.34.0,0,True
5,0,False,923145,1,2,0,0,2,8,ziex.ziex,1,False,True,True,2d65050e2906452c1b335407d2b070b1d3d7dfd80afeb01537dfb2a0aab42cff,0,0,False,True,0.1.766,False,^1.99.0,0,False
1,0,False,1723730,3,4,0,0,1,7,SushantBansode.prompt-token-saver,0,True,True,True,2faa08080e46a924308f3f873dc15ac604251a3d374b4f404672ae19d83348de,0,0,False,True,1.0.3,False,^1.85.0,0,True
4,0,False,3167968,3,14,0,0,0,13,marcoroth.herb-lsp,0,True,True,True,3353f9ca12c694e93dcdeaf1e922eb8a3e06a979acf9bca9a72594c40df3b099,0,0,False,True,0.10.2,False,^1.100.0,4,False
7,0,False,39518862,4,40,0,0,3,15,codeprosorg.geode-vscode,2,True,True,True,335a1f8d1ff2178eca4674bba0c1be31934b0e4c0cd280aff05c7a6ea4014915,0,0,False,True,1.3.4,False,^1.75.0,1,False
1,0,False,4291,1,1,0,0,0,1,kislay.kislay-theme-changer,0,False,True,False,34857ae367cf79dee908c106812b7fc6d2f9020051d371e96c73d6c6fad44fc4,0,0,False,True,0.0.1,False,^1.60.0,0,False
5,0,False,54337,1,7,0,0,0,3,waitspin.waitspin-vscode,0,True,True,True,34943ce5c127ab56fde66662adece313915e553ffa45c9f4cd81e0aabc1c720f,0,0,True,True,0.1.16,False,^1.85.0,1,True
1,0,False,100933,3,1,0,0,2,18,valeryanm.vscode-phpsab,0,True,True,True,35d1f79ffe928041e1e82952c29d85fb2462b2a6495f232258165688df84e382,0,0,False,True,0.0.26,False,^1.106.1,0,False
8,0,False,1208219,1,9,0,0,20,27,ms-vscode.azure-account,0,True,True,True,35e47eb7b5435ff85c729ebc9ff98890b45e7c50ef5bd34a2b3ffd8314dd1f2d,0,0,True,True,0.13.0,False,^1.75.0,0,False
6,0,True,1057470,1,5,0,0,5,26,nguyenngoclong.eco-console-log,0,True,True,True,36702aaf68c81b1e7ee3e07260754fe512aeb7e97a7f1952dd13fa7d568422e6,0,0,False,True,1.1.4,False,^1.64.0,0,False
2,0,False,2996814,1,3,0,0,0,9,mdtanvirahamedshanto.nodejs-package-manager,0,True,True,True,36dffdfdc15adcbaa013782d014007a0b4b81bb5b6729ecdee5d20357fe66f35,0,0,False,True,1.5.4,False,^1.85.0,1,False
0,0,False,769099,1,0,0,0,0,0,MS-CEINTL.vscode-language-pack-ru,0,True,False,True,39d55eefdf2e2ff6222859c63ab851740065ac8aedbaded45e3a1b988d3178b5,0,0,False,True,1.131.0,False,^1.131.0,0,False
2,0,False,9562,1,2,0,0,0,6,polunzh.start-git,0,False,True,False,3c2980fe977e8d32040ea8389a937f553239ea1570e4b00ec25664eb02185c19,0,0,False,True,0.0.6,False,^1.5.0,0,False
1,0,False,3102587,1,12,0,0,2,0,Knostic.kirin-openvsx,0,True,True,True,3d386a1db964ea46b78642518e681da6d55cbb3f885be37f6add75071b6e92f7,0,0,False,True,3.36.9,False,^1.99.0,0,False
1,0,False,6397,1,1,0,0,0,11,oborote.Diablo-2-Hero-Editor-Item-Pack-Download-BETTER,0,False,True,False,3eba4f44592fa96867a7051af0ac29204148631ed0f56cc14751010cf1b39561,0,0,False,True,0.0.1,False,^1.65.0,0,False
11,0,False,2491343,2,57,0,0,9,31,jensen-wen.i18n-mage,0,False,True,True,3f07893d1604b011a33cd52580596bddd40f7177bb0a0e8c6a3a300ba5d24831,0,0,False,True,1.3.7,False,^1.89.0,1,False
1,0,False,1280523,1,3,0,0,1,6,yoruhub.antigravity-status,0,True,True,True,408323fbb412603693429a12ddb2e1f9ef81aa89d679b875b4d89d803b348459,0,0,False,True,0.0.2,False,^1.80.0,0,False
1,0,False,15457142,1,0,0,0,1,15,mtharrison.vscode-lab-test-runner,0,True,True,True,421ff2bc5340d328080d8a33bffb960f28cf421a65953ba3de71398b28201571,0,0,False,True,5.4.2,False,^1.85.0,0,False
1,0,False,2268148,3,28,0,0,4,15,ArivaanAI.arivaanai-orbit,0,True,True,True,44ebbcb516bef123f516ebd312566567ad3747ea9f69a516e9b649778aec56e5,0,0,True,True,0.1.1,False,^1.90.0,1,False
1,0,False,1519652,1,0,0,0,0,6,wxhenry.latex-begin-end-auto-rename,1,True,True,True,4555049a8e7796b67e9d0055e86673414d7c53066213e31f2edcc456386d76dc,0,0,False,True,0.0.3,False,^1.7.0,0,False
1,0,False,6409903,1,7,0,0,0,7,Marko-JS.marko-vscode,1,True,True,True,45b0520b8e13d05b0daaf7d214cb83f963f5b80f37050b3f0500905208672693,0,0,False,True,3.1.7,False,^1.116.0,0,False
1,0,False,3073851,3,15,0,0,6,23,stonewolfpc.swe-obey-me,0,True,True,True,4686d51eef8cf4df70faf9ed96923a8ed9347fa3692889d60e996d7aa34921e3,0,0,False,True,5.3.32,False,^1.61.0,1,False
